"Population estimates, July 1, 2019,  (V2019),","Population estimates base, April 1, 2010,  (V2019),","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019),","Population, Census, April 1, 2010,","Persons under 5 years, percent,","Persons under 18 years, percent,","Persons 65 years and over, percent,","Female persons, percent,","White alone, percent,","Black or African American alone, percent,","American Indian and Alaska Native alone, percent,","Asian alone, percent,","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent,","Hispanic or Latino, percent,","White alone, not Hispanic or Latino, percent,","Veterans, 2014-2018,","Foreign born persons, percent, 2014-2018,","Housing units,  July 1, 2019,  (V2019),","Owner-occupied housing unit rate, 2014-2018,","Median value of owner-occupied housing units, 2014-2018,","Median selected monthly owner costs -with a mortgage, 2014-2018,","Median selected monthly owner costs -without a mortgage, 2014-2018,","Median gross rent, 2014-2018,","Building permits, 2019,","Households, 2014-2018,","Persons per household, 2014-2018,","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018,","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018,","Households with a computer, percent, 2014-2018,","Households with a broadband Internet subscription, percent, 2014-2018,","High school graduate or higher, percent of persons age 25 years+, 2014-2018,","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018,","With a disability, under age 65 years, percent, 2014-2018,","Persons  without health insurance, under age 65 years, percent,","In civilian labor force, total, percent of population age 16 years+, 2014-2018,","In civilian labor force, female, percent of population age 16 years+, 2014-2018,","Total accommodation and food services sales, 2012 ($1,000),","Total health care and social assistance receipts/revenue, 2012 ($1,000),","Total manufacturers shipments, 2012 ($1,000),","Total merchant wholesaler sales, 2012 ($1,000),","Total retail sales, 2012 ($1,000),","Total retail sales per capita, 2012,","Mean travel time to work (minutes), workers age 16 years+, 2014-2018,","Median household income (in 2018 dollars), 2014-2018,","Per capita income in past 12 months (in 2018 dollars), 2014-2018,","Persons in poverty, percent,","Total employer establishments, 2018,","Total employment, 2018,","Total annual payroll, 2018 ($1,000),","Total employment, percent change, 2017-2018,","Total nonemployer establishments, 2018,","All firms, 2012,","Men-owned firms, 2012,","Women-owned firms, 2012,","Minority-owned firms, 2012,","Nonminority-owned firms, 2012,","Veteran-owned firms, 2012,","Nonveteran-owned firms, 2012,","Population per square mile, 2010,","Land area in square miles, 2010,"
"7,370","7,506","-1.8","7,373","3.9","16.2","27.9","50.8","92.4","4.2","0.4","1.0","0.1","2.0","4.4","88.3","694","3.5","3,998","73.8","359,800","1,799","551","1,049","22","2,976","2.46","92.9","4.8","85.3","73.7","89.0","32.9","9.2","13.3","58.4","53.8","","","","2,427","29,306","3,931","40.4","68,438","37,733","8.7","212","1,105","40,862","2.5","953","938","598","259","","904","99","825","27.7","266.23"
"34,027","34,857","-2.4","34,872","4.7","17.5","23.5","49.9","92.3","5.0","0.3","0.7","","1.7","1.8","90.7","2,631","1.9","17,302","72.3","144,800","1,088","373","657","47","14,525","2.28","87.1","2.5","80.7","66.7","86.2","19.4","13.1","9.6","56.9","53.6","53,370","108,827","2,861,262","35,997","352,657","10,152","22.9","52,638","26,609","14.6","607","10,460","426,575","-3.8","1,553","2,082","892","790","103","1,885","175","1,679","109.0","319.86"
"470,335","402,009","17.0","402,002","7.2","26.9","10.3","50.0","62.4","22.2","1.1","9.4","0.2","4.7","24.5","41.5","41,479","23.9","151,729","73.2","369,300","2,250","655","1,675","1,474","140,473","3.22","86.2","32.9","96.7","93.1","88.5","40.1","5.4","11.7","71.4","66.0","673,700","993,570","353,067","2,222,743","5,638,210","13,103","39.6","103,445","39,262","6.4","8,411","107,362","5,012,545","5.1","41,049","34,235","18,497","12,615","16,778","16,121","4,033","28,527","1,195.0","336.40"
"17,631","18,573","-5.1","18,570","4.2","18.6","20.8","48.3","62.3","34.7","0.5","0.5","0.1","1.9","2.0","61.0","1,827","0.5","7,673","73.2","169,500","1,227","419","759","59","6,522","2.51","87.5","1.4","87.0","71.1","84.0","17.8","9.5","10.6","54.7","54.2","3,825","7,817","106,431","131,165","55,663","3,024","29.3","54,611","25,643","14.7","214","2,150","95,516","-3.2","948","1,050","651","371","354","665","182","848","31.0","599.15"
"30,104","32,213","-6.5","32,208","4.7","19.1","22.6","51.1","95.7","2.5","0.2","0.5","","1.1","2.0","94.0","2,102","1.4","15,352","71.4","95,000","945","315","595","16","12,881","2.35","88.9","2.5","77.4","68.2","83.1","14.3","19.3","11.3","51.8","47.0","28,962","143,838","832,988","","271,994","8,575","21.3","40,425","22,297","20.4","498","8,878","319,931","2.0","1,397","2,013","1,192","644","44","1,890","294","1,608","71.4","450.93"
"43,616","41,996","3.9","41,993","5.5","21.0","22.2","50.9","93.6","2.9","0.5","1.1","0.1","1.9","7.4","87.2","3,425","4.4","21,335","70.6","207,900","1,352","385","854","123","17,315","2.46","85.8","7.2","82.0","71.8","86.9","20.1","9.4","12.0","61.5","55.6","56,039","109,395","796,165","519,660","499,549","11,731","31.0","54,921","28,064","10.4","865","12,706","465,833","4.7","2,968","3,319","1,619","1,117","251","2,972","388","2,703","82.5","508.78"
"21,566","23,168","-6.9","23,177","4.1","17.8","24.9","49.7","97.6","0.9","0.3","0.2","0.1","0.9","1.5","96.4","1,477","1.2","11,966","77.9","94,400","904","299","553","13","8,767","2.43","89.1","1.6","72.8","62.4","81.2","14.4","19.8","10.7","48.1","42.1","","39,372","486,781","","210,545","9,242","28.9","39,144","21,157","18.5","264","3,490","110,471","-1.4","890","1,151","650","392","","1,080","25","1,068","43.3","535.53"
"26,586","28,923","-8.1","28,897","4.7","18.7","22.5","51.2","97.6","1.1","0.3","0.2","","0.8","1.4","96.6","1,106","0.6","13,536","76.1","96,900","980","296","563","17","10,965","2.45","92.2","1.3","69.4","57.8","79.3","13.5","19.4","10.7","44.5","40.1","19,329","97,110","","30,012","233,167","8,197","27.7","39,482","21,754","21.5","462","5,819","230,596","-0.7","1,152","1,627","1,026","439","46","1,528","58","1,490","61.0","473.82"
"81,948","76,321","7.4","76,314","5.6","21.8","19.5","50.9","94.2","2.5","0.6","1.0","0.1","1.6","7.4","87.9","4,573","5.8","36,163","73.8","210,000","1,323","375","861","288","30,946","2.51","88.3","9.0","83.5","73.6","83.5","25.9","8.3","12.3","63.5","57.6","82,711","496,670","5,397,079","626,275","429,800","5,554","22.3","59,817","30,138","8.7","1,484","28,001","1,213,417","3.1","5,926","5,281","3,079","1,654","183","4,953","660","4,445","89.9","849.09"
"40,164","37,450","7.2","37,575","5.9","21.6","16.8","50.2","90.5","5.0","0.6","1.3","0.1","2.6","5.3","86.0","3,285","3.2","16,606","77.0","240,000","1,477","370","956","150","14,379","2.69","88.4","5.7","89.6","80.6","86.3","21.1","10.5","11.9","63.7","57.2","61,205","","811,775","","444,630","11,679","40.9","68,189","31,007","10.3","818","11,103","419,171","2.4","2,801","2,947","1,735","797","241","2,565","436","2,328","176.0","213.47"
